distance_m,distance_km,L_atm_dB,L_turb_dB,L_point_dB,L_total_dB
2080.0,2.08,2.5057616094024118,3.3110194762633274,0.30962284345742963,6.1264039291231684
2090.0,2.09,2.517808540216846,3.3402615867940555,0.30962284345742963,6.16769297046833
2100.0,2.1,2.529855471031281,3.369620525678468,0.30962284345742963,6.2090988401671785
2110.0,2.11,2.5419024018457153,3.3990962000107316,0.30962284345742963,6.250621445313876
2120.0,2.12,2.5539493326601503,3.4286885173997335,0.30962284345742963,6.2922606935173135
2130.0,2.13,2.565996263474585,3.4583973859638037,0.30962284345742963,6.3340164928958185
2140.0,2.14,2.5780431942890196,3.488222714325537,0.30962284345742963,6.375888752071986
2150.0,2.15,2.5900901251034543,3.518164411606661,0.30962284345742963,6.417877380167544
2160.0,2.16,2.602137055917889,3.548222387423011,0.30962284345742963,6.459982286798329
2170.0,2.17,2.6141839867323236,3.578396551879553,0.30962284345742963,6.502203382069306
2180.0,2.18,2.6262309175467586,3.6086868155654965,0.30962284345742963,6.544540576569684
2190.0,2.19,2.638277848361193,3.63909308954947,0.30962284345742963,6.586993781368092
2200.0,2.2,2.650324779175628,3.6696152853747703,0.30962284345742963,6.629562908007827
2210.0,2.21,2.662371709990062,3.7002533150546775,0.30962284345742963,6.6722478685021684
2220.0,2.22,2.674418640804497,3.731007091067836,0.30962284345742963,6.715048575329762
2230.0,2.23,2.6864655716189314,3.7618765263537126,0.30962284345742963,6.757964941430073
2240.0,2.24,2.6985125024333665,3.7928615343081002,0.30962284345742963,6.8009968801988965
2250.0,2.25,2.710559433247801,3.823962028778703,0.30962284345742963,6.844144305483933
2260.0,2.26,2.7226063640622353,3.855177924060775,0.30962284345742963,6.8874071315804395
2270.0,2.27,2.7346532948766704,3.8865091348928162,0.30962284345742963,6.930785273226916
2280.0,2.28,2.7467002256911046,3.9179555764523437,0.30962284345742963,6.974278645600878
2290.0,2.29,2.7587471565055397,3.9495171643517035,0.30962284345742963,7.017887164314672
2300.0,2.3,2.770794087319974,3.9811938146339516,0.30962284345742963,7.061610745411355
2310.0,2.31,2.782841018134409,4.012985443768792,0.30962284345742963,7.10544930536063
2320.0,2.32,2.7948879489488436,4.044891968648565,0.30962284345742963,7.149402761054837
2330.0,2.33,2.8069348797632783,4.07691330658429,0.30962284345742963,7.193471029804997
2340.0,2.34,2.818981810577713,4.109049375301771,0.30962284345742963,7.2376540293369125
2350.0,2.35,2.831028741392148,4.141300092937748,0.30962284345742963,7.281951677787326
2360.0,2.36,2.843075672206582,4.173665378036097,0.30962284345742963,7.326363893700108
2370.0,2.37,2.8551226030210173,4.206145149544092,0.30962284345742963,7.370890596022539
2380.0,2.38,2.8671695338354515,4.238739326808702,0.30962284345742963,7.415531704101582
2390.0,2.39,2.8792164646498866,4.271447829572955,0.30962284345742963,7.460287137680272
2400.0,2.4,2.8912633954643208,4.3042705779723365,0.30962284345742963,7.505156816894086
2410.0,2.41,2.903310326278756,4.337207492531242,0.30962284345742963,7.550140662267427
2420.0,2.42,2.9153572570931905,4.370258494159468,0.30962284345742963,7.5952385947100876
2430.0,2.43,2.927404187907625,4.403423504148768,0.30962284345742963,7.640450535513823
2440.0,2.44,2.9394511187220598,4.4367024441694305,0.30962284345742963,7.68577640634892
2450.0,2.45,2.9514980495364944,4.470095236266913,0.30962284345742963,7.731216129260837
2460.0,2.46,2.963544980350929,4.503601802858526,0.30962284345742963,7.776769626666884
2470.0,2.47,2.975591911165364,4.537222066730141,0.30962284345742963,7.822436821352935
2480.0,2.48,2.9876388419797983,4.570955951032964,0.30962284345742963,7.868217636470192
2490.0,2.49,2.9996857727942334,4.604803379280328,0.30962284345742963,7.91411199553199
2500.0,2.5,3.0117327036086676,4.638764275344541,0.30962284345742963,7.960119822410638
2510.0,2.51,3.0237796344231023,4.67283856345377,0.30962284345742963,8.006241041334302
2520.0,2.52,3.035826565237537,4.707026168188968,0.30962284345742963,8.052475576883934
2530.0,2.53,3.0478734960519716,4.7413270144808255,0.30962284345742963,8.098823353990227
2540.0,2.54,3.0599204268664066,4.775741027606778,0.30962284345742963,8.145284297930614
2550.0,2.55,3.071967357680841,4.8102681331880435,0.30962284345742963,8.191858334326314
2560.0,2.56,3.084014288495276,4.844908257186691,0.30962284345742963,8.238545389139396
2570.0,2.57,3.09606121930971,4.8796613259027595,0.30962284345742963,8.2853453886699
2580.0,2.58,3.108108150124145,4.9145272659713966,0.30962284345742963,8.33225825955297
2590.0,2.59,3.1201550809385794,4.94950600436004,0.30962284345742963,8.379283928756049
2600.0,2.6,3.1322020117530145,4.984597468365639,0.30962284345742963,8.426422323576082
2610.0,2.61,3.144248942567449,5.0198015856119,0.30962284345742963,8.473673371636778
